	compound	media	negative	neutral	positive	tweets ago
356	0.6369	@fox	0.0	0.826	0.174	57
357	0.0	@fox	0.0	1.0	0.0	58
358	0.0	@fox	0.0	1.0	0.0	59
359	0.0	@fox	0.0	1.0	0.0	60
360	0.296	@fox	0.0	0.901	0.099	61
361	0.3182	@fox	0.0	0.909	0.091	62
362	0.802	@fox	0.0	0.455	0.545	63
363	0.0	@fox	0.0	1.0	0.0	64
364	-0.296	@fox	0.524	0.476	0.0	65
365	0.636	@fox	0.0	0.193	0.807	66
366	-0.6478	@fox	0.237	0.763	0.0	67
367	-0.5707	@fox	0.61	0.39	0.0	68
368	0.5267	@fox	0.066	0.708	0.226	69
369	-0.2862	@fox	0.153	0.745	0.102	70
370	0.6486	@fox	0.0	0.762	0.238	71
371	0.0	@fox	0.0	1.0	0.0	72
372	0.8122	@fox	0.0	0.682	0.318	73
373	0.0	@fox	0.0	1.0	0.0	74
374	0.4754	@fox	0.116	0.655	0.229	75
375	0.0772	@fox	0.195	0.642	0.163	76
376	0.6369	@fox	0.0	0.826	0.174	77
377	0.0	@fox	0.0	1.0	0.0	78
378	0.0	@fox	0.0	1.0	0.0	79
379	0.0	@fox	0.0	1.0	0.0	80
380	0.296	@fox	0.0	0.901	0.099	81
381	0.3182	@fox	0.0	0.909	0.091	82
382	0.802	@fox	0.0	0.455	0.545	83
383	0.0	@fox	0.0	1.0	0.0	84
384	-0.296	@fox	0.524	0.476	0.0	85
385	0.636	@fox	0.0	0.193	0.807	86
386	-0.6478	@fox	0.237	0.763	0.0	87
387	-0.5707	@fox	0.61	0.39	0.0	88
388	0.5267	@fox	0.066	0.708	0.226	89
389	-0.2862	@fox	0.153	0.745	0.102	90
390	0.6486	@fox	0.0	0.762	0.238	91
391	0.0	@fox	0.0	1.0	0.0	92
392	0.8122	@fox	0.0	0.682	0.318	93
393	0.0	@fox	0.0	1.0	0.0	94
394	0.4754	@fox	0.116	0.655	0.229	95
395	0.0772	@fox	0.195	0.642	0.163	96
396	0.6369	@fox	0.0	0.826	0.174	97
397	0.0	@fox	0.0	1.0	0.0	98
398	0.0	@fox	0.0	1.0	0.0	99
399	0.0	@fox	0.0	1.0	0.0	100
400	-0.2263	@nytimes	0.106	0.894	0.0	1
401	0.0	@nytimes	0.0	1.0	0.0	2
402	-0.5837	@nytimes	0.351	0.649	0.0	3
403	0.0	@nytimes	0.0	1.0	0.0	4
404	0.0	@nytimes	0.0	1.0	0.0	5
405	0.4767	@nytimes	0.0	0.763	0.237	6
406	0.8176	@nytimes	0.0	0.679	0.321	7
407	0.765	@nytimes	0.0	0.694	0.306	8
408	0.836	@nytimes	0.0	0.669	0.331	9
409	0.1531	@nytimes	0.0	0.885	0.115	10
410	0.5267	@nytimes	0.0	0.825	0.175	11
411	0.0	@nytimes	0.0	1.0	0.0	12
412	0.836	@nytimes	0.0	0.622	0.378	13
413	0.836	@nytimes	0.0	0.655	0.345	14
414	0.128	@nytimes	0.0	0.933	0.067	15
415	0.0	@nytimes	0.0	1.0	0.0	16
416	0.5719	@nytimes	0.0	0.821	0.179	17
417	-0.8519	@nytimes	0.304	0.696	0.0	18
418	0.0	@nytimes	0.0	1.0	0.0	19
419	-0.6597	@nytimes	0.28	0.559	0.161	20
420	-0.2263	@nytimes	0.106	0.894	0.0	21
421	0.0	@nytimes	0.0	1.0	0.0	22
422	-0.5837	@nytimes	0.351	0.649	0.0	23
423	0.0	@nytimes	0.0	1.0	0.0	24
424	0.0	@nytimes	0.0	1.0	0.0	25
425	0.4767	@nytimes	0.0	0.763	0.237	26
426	0.8176	@nytimes	0.0	0.679	0.321	27
427	0.765	@nytimes	0.0	0.694	0.306	28
428	0.836	@nytimes	0.0	0.669	0.331	29
429	0.1531	@nytimes	0.0	0.885	0.115	30
430	0.5267	@nytimes	0.0	0.825	0.175	31
431	0.0	@nytimes	0.0	1.0	0.0	32
432	0.836	@nytimes	0.0	0.622	0.378	33
433	0.836	@nytimes	0.0	0.655	0.345	34
434	0.128	@nytimes	0.0	0.933	0.067	35
435	0.0	@nytimes	0.0	1.0	0.0	36
436	0.5719	@nytimes	0.0	0.821	0.179	37
437	-0.8519	@nytimes	0.304	0.696	0.0	38
438	0.0	@nytimes	0.0	1.0	0.0	39
439	-0.6597	@nytimes	0.28	0.559	0.161	40
440	-0.2263	@nytimes	0.106	0.894	0.0	41
441	0.0	@nytimes	0.0	1.0	0.0	42
442	-0.5837	@nytimes	0.351	0.649	0.0	43
443	0.0	@nytimes	0.0	1.0	0.0	44
444	0.0	@nytimes	0.0	1.0	0.0	45
445	0.4767	@nytimes	0.0	0.763	0.237	46
446	0.8176	@nytimes	0.0	0.679	0.321	47
447	0.765	@nytimes	0.0	0.694	0.306	48
448	0.836	@nytimes	0.0	0.669	0.331	49
449	0.1531	@nytimes	0.0	0.885	0.115	50
450	0.5267	@nytimes	0.0	0.825	0.175	51
451	0.0	@nytimes	0.0	1.0	0.0	52
452	0.836	@nytimes	0.0	0.622	0.378	53
453	0.836	@nytimes	0.0	0.655	0.345	54
454	0.128	@nytimes	0.0	0.933	0.067	55
455	0.0	@nytimes	0.0	1.0	0.0	56
456	0.5719	@nytimes	0.0	0.821	0.179	57
457	-0.8519	@nytimes	0.304	0.696	0.0	58
458	0.0	@nytimes	0.0	1.0	0.0	59
459	-0.6597	@nytimes	0.28	0.559	0.161	60
460	-0.2263	@nytimes	0.106	0.894	0.0	61
461	0.0	@nytimes	0.0	1.0	0.0	62
462	-0.5837	@nytimes	0.351	0.649	0.0	63
463	0.0	@nytimes	0.0	1.0	0.0	64
464	0.0	@nytimes	0.0	1.0	0.0	65
465	0.4767	@nytimes	0.0	0.763	0.237	66
466	0.8176	@nytimes	0.0	0.679	0.321	67
467	0.765	@nytimes	0.0	0.694	0.306	68
468	0.836	@nytimes	0.0	0.669	0.331	69
469	0.1531	@nytimes	0.0	0.885	0.115	70
470	0.5267	@nytimes	0.0	0.825	0.175	71
471	0.0	@nytimes	0.0	1.0	0.0	72
472	0.836	@nytimes	0.0	0.622	0.378	73
473	0.836	@nytimes	0.0	0.655	0.345	74
474	0.128	@nytimes	0.0	0.933	0.067	75
475	0.0	@nytimes	0.0	1.0	0.0	76
476	0.5719	@nytimes	0.0	0.821	0.179	77
477	-0.8519	@nytimes	0.304	0.696	0.0	78
478	0.0	@nytimes	0.0	1.0	0.0	79
479	-0.6597	@nytimes	0.28	0.559	0.161	80
480	-0.2263	@nytimes	0.106	0.894	0.0	81
481	0.0	@nytimes	0.0	1.0	0.0	82
482	-0.5837	@nytimes	0.351	0.649	0.0	83
483	0.0	@nytimes	0.0	1.0	0.0	84
484	0.0	@nytimes	0.0	1.0	0.0	85
485	0.4767	@nytimes	0.0	0.763	0.237	86
486	0.8176	@nytimes	0.0	0.679	0.321	87
487	0.765	@nytimes	0.0	0.694	0.306	88
488	0.836	@nytimes	0.0	0.669	0.331	89
489	0.1531	@nytimes	0.0	0.885	0.115	90
490	0.5267	@nytimes	0.0	0.825	0.175	91
491	0.0	@nytimes	0.0	1.0	0.0	92
492	0.836	@nytimes	0.0	0.622	0.378	93
493	0.836	@nytimes	0.0	0.655	0.345	94
494	0.128	@nytimes	0.0	0.933	0.067	95
495	0.0	@nytimes	0.0	1.0	0.0	96
496	0.5719	@nytimes	0.0	0.821	0.179	97
497	-0.8519	@nytimes	0.304	0.696	0.0	98
498	0.0	@nytimes	0.0	1.0	0.0	99
499	-0.6597	@nytimes	0.28	0.559	0.161	100
